FT  ID  AT  WT  ST
2   3   1   0   1
8   14   3   0   5
9   9   2   0   7
9   5   1   0   8
10   1   1   0   9
11   11   2   6   3
11   7   1   0   10
15   6   1   0   14
16   13   3   0   13
20   4   1   0   19
21   35   15   5   1
21   26   8   3   10
22   8   1   0   21
27   17   3   20   4
27   10   2   0   25
30   33   13   3   14
31   2   1   0   30
43   18   4   5   34
46   15   3   18   25
59   37   15   4   40
61   22   7   4   50
63   25   8   41   14
86   29   10   40   36
87   23   8   19   60
89   30   10   55   24
94   24   8   38   48
118   34   15   3   100
215   32   12   3   200
228   31   11   72   145
Orders: 29 [Norm:1, Veg:13, VIP:6]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:12]
Avg Wait = 11.6897, Avg Serv = 33.4483
Urgent orders: 9,  Auto-promoted: 40%
