FT  ID  AT  WT  ST
5   3   1   0   4
9   13   3   0   6
9   7   1   0   8
9   5   1   0   8
10   9   2   0   8
13   1   1   0   12
14   6   1   0   13
22   10   2   0   20
20   4   1   0   19
21   26   8   1   12
21   11   2   4   15
22   35   15   6   1
25   18   4   5   16
28   17   3   20   5
31   2   1   0   30
32   14   3   19   10
41   8   1   0   40
50   25   8   37   5
53   33   13   0   40
54   24   8   25   21
60   29   10   40   10
60   37   15   5   40
82   22   7   3   72
84   23   8   20   56
84   15   3   19   62
96   30   10   44   42
114   31   11   69   34
118   34   15   3   100
121   32   12   2   107
Orders: 29 [Norm:1, Veg:13, VIP:10]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:12]
Avg Wait = 11.1034, Avg Serv = 28.1379
Urgent orders: 5,  Auto-promoted: 40%
