FT  ID  AT  WT  ST
2   3   1   0   1
6   7   1   0   5
8   14   3   0   5
8   9   2   0   6
9   11   2   4   3
9   5   1   0   8
10   6   1   0   9
13   1   1   0   12
15   17   3   8   4
16   13   3   0   13
16   2   1   0   15
17   8   1   0   16
-2147483629   37   15   4   -2147483648
20   4   1   0   19
22   10   2   0   20
20   15   3   7   10
21   35   15   5   1
28   25   8   14   6
30   18   4   4   22
31   24   8   12   11
35   32   12   3   20
52   30   10   22   20
53   29   10   22   21
53   33   13   0   40
60   31   11   27   22
61   26   8   1   52
66   34   15   1   50
130   22   7   3   120
152   23   8   8   136
Orders: 29 [Norm:1, Veg:13, VIP:10]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:8]
Avg Wait = 5, Avg Serv = -7.40511e+07
Urgent orders: 5,  Auto-promoted: 40%
