FT  ID  AT  WT  ST
2   3   1   0   1
8   14   3   0   5
8   9   2   0   6
8   1   1   0   7
9   5   1   0   8
10   7   1   0   9
11   11   2   6   3
11   4   1   0   10
14   10   2   0   12
15   8   1   0   14
16   13   3   0   13
21   35   15   5   1
22   33   13   1   8
23   26   8   3   12
26   6   1   0   25
31   2   1   0   30
51   17   3   40   8
51   34   15   1   35
53   22   7   3   43
54   15   3   39   12
59   37   15   4   40
59   18   4   5   50
65   32   12   3   50
66   24   8   46   12
74   25   8   59   7
86   29   10   58   18
165   30   10   61   94
205   31   11   62   132
223   23   8   43   172
Orders: 29 [Norm:1, Veg:13, VIP:9]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:15]
Avg Wait = 15.1379, Avg Serv = 28.8621
Urgent orders: 6,  Auto-promoted: 40%
