FT  ID  AT  WT  ST
3   3   1   0   2
6   7   1   0   5
9   11   2   4   3
9   13   3   0   6
10   9   2   0   8
10   6   1   0   9
11   4   1   0   10
12   14   3   0   9
13   1   1   0   12
16   5   1   0   15
22   10   2   0   20
21   17   3   11   7
21   15   3   8   10
22   35   15   6   1
24   18   4   5   15
25   37   15   6   4
30   25   8   19   3
31   2   1   0   30
35   29   10   20   5
39   26   8   2   29
41   8   1   0   40
42   24   8   16   18
53   33   13   0   40
56   30   10   27   19
85   31   11   31   43
102   22   7   3   92
112   32   12   0   100
116   34   15   1   100
122   23   8   14   100
Orders: 29 [Norm:1, Veg:13, VIP:11]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:8]
Avg Wait = 5.96552, Avg Serv = 26.0345
Urgent orders: 4,  Auto-promoted: 40%
