FT  ID  AT  WT  ST
2   3   1   0   1
5   9   2   0   3
7   1   1   0   6
8   11   2   3   3
8   13   3   0   5
8   14   3   0   5
11   7   1   0   10
11   4   1   0   10
13   10   2   0   11
14   6   1   0   13
15   8   1   0   14
16   2   1   0   15
16   5   1   0   15
17   27   9   2   6
17   19   5   3   9
20   35   15   4   1
21   26   8   3   10
24   43   17   4   3
25   37   15   4   6
32   32   12   0   20
35   33   13   1   21
36   17   3   29   4
37   15   3   24   10
37   40   16   0   21
41   38   16   0   25
43   42   17   3   23
51   25   8   37   6
51   34   15   0   36
53   24   8   32   13
60   18   4   3   53
61   44   17   4   40
65   29   10   45   10
87   41   17   56   14
89   39   16   49   24
101   23   8   29   64
110   31   11   52   47
110   30   10   52   48
153   22   7   4   142
Orders: 38 [Norm:1, Veg:15, VIP:13]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:15]
Avg Wait = 11.6579, Avg Serv = 20.1842
Urgent orders: 9,  Auto-promoted: 50%
