FT  ID  AT  WT  ST
3   3   1   0   2
7   9   2   0   5
11   14   3   0   8
11   7   1   0   10
11   4   1   0   10
12   13   3   0   9
13   1   1   0   12
16   10   2   0   14
16   5   1   0   15
18   2   1   0   17
-2147483629   37   15   4   -2147483648
20   35   15   5   0
22   11   2   5   15
26   6   1   0   25
29   26   8   4   17
41   8   1   0   40
43   15   3   21   19
44   17   3   29   12
53   33   13   0   40
68   34   15   3   50
68   18   4   7   57
69   22   7   4   58
77   25   8   62   7
86   24   8   56   22
111   29   10   79   22
112   30   10   87   15
115   32   12   3   100
135   23   8   55   72
139   31   11   95   33
Orders: 29 [Norm:1, Veg:13, VIP:7]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:16]
Avg Wait = 17.8966, Avg Serv = -7.40511e+07
Urgent orders: 8,  Auto-promoted: 40%
