FT  ID  AT  WT  ST
8   11   2   0   6
8   4   1   0   7
10   5   1   0   9
15   3   1   0   14
16   10   2   0   14
16   7   2   0   14
16   12   2   0   14
17   6   2   0   15
21   2   1   0   20
22   19   4   0   18
22   8   2   0   20
23   13   3   0   20
26   18   3   1   22
27   17   3   0   24
27   9   2   0   25
32   38   7   19   6
32   42   7   15   10
32   23   4   6   22
33   16   3   0   30
34   20   4   0   30
37   1   1   0   36
42   40   7   16   19
43   51   8   24   11
43   32   6   10   27
43   34   6   2   35
44   45   8   25   11
44   33   6   10   28
44   24   4   0   40
45   50   8   26   11
47   47   8   24   15
47   35   6   11   30
47   27   5   10   32
49   39   7   20   22
49   26   5   11   33
55   25   5   6   44
56   58   10   35   11
56   43   8   35   13
56   44   8   34   14
56   37   7   25   24
60   76   13   43   4
60   36   7   20   33
61   41   7   15   39
62   69   11   38   13
62   22   4   0   58
63   55   9   34   20
64   62   10   37   17
65   53   9   34   22
66   60   10   37   19
67   54   9   35   23
67   63   10   34   23
69   77   13   47   9
70   15   3   0   67
71   61   10   37   24
72   75   12   44   16
75   79   14   48   13
76   68   11   38   27
79   67   11   45   23
82   70   11   45   26
83   92   17   50   16
84   83   15   48   21
84   64   10   34   40
85   101   19   52   14
87   95   18   49   20
88   99   19   56   13
91   94   18   51   22
94   88   16   48   30
99   80   14   47   38
100   84   15   47   38
100   78   13   47   40
101   21   4   81   16
101   90   16   50   35
108   30   6   85   17
108   89   16   49   43
109   97   19   53   37
115   52   8   92   15
118   31   6   87   25
119   57   10   98   11
121   56   9   98   14
121   98   19   57   45
123   59   10   100   13
123   49   8   29   86
125   65   11   44   70
135   82   14   111   10
136   73   12   111   13
137   93   18   52   67
139   86   15   121   3
139   72   11   110   18
140   74   12   112   16
142   85   15   120   7
147   81   14   111   22
149   87   15   124   10
149   48   8   91   50
155   96   18   127   10
168   66   11   104   53
169   102   19   128   22
175   100   19   127   29
181   29   6   15   160
Orders: 97 [Norm:4, Veg:27, VIP:11]
cooks: 21 [Norm:6, Veg:7, VIP:8, injured:20]
Avg Wait = 41.3608, Avg Serv = 25.5773
Urgent orders: 55,  Auto-promoted: 72.2222%
