FT    ID    AT    WT    ST
11     1     1     0     10
12     8     1     1     10
12     6     1     1     10
12     1     1     0     11
13     2     1     1     11
15     1     1     11     3
17     1     1     0     16
22     4     1     11     10
26     5     1     10     15
30     10     2     0     28
35     1     1     0     34
37     1     2     10     25
40     18     4     11     25
51     1     2     11     38
52     35     15     36     1
57     33     13     22     22
58     3     1     55     2
60     37     15     25     20
86     7     1     61     24
89     22     7     15     67
90     1     1     0     89
107     19     5     12     90
113     9     2     88     23
126     13     3     113     10
126     26     8     18     100
129     14     3     116     10
130     32     12     18     100
137     34     15     22     100
142     17     3     129     10
153     15     3     127     23
183     25     8     164     11
202     29     10     173     19
247     24     8     135     104
270     31     11     221     38
270     30     10     203     57
367     23     8     131     228
Orders: 36 [Norm:5, Veg:13, VIP:4]
cooks: 9 [Norm:3, Veg:4, VIP:2, injured:20]
Avg Wait = 54.1944, Avg Serv = 38.7222
Urgent orders: 14,  Auto-promoted: 35.2941%
