FT  ID  AT  WT  ST
3   3   1   0   2
7   9   2   0   5
7   7   1   0   6
8   13   3   0   5
12   6   1   0   11
13   1   1   0   12
15   10   2   0   13
15   8   1   0   14
16   11   2   4   10
16   2   1   0   15
16   5   1   0   15
18   19   5   3   10
20   4   1   0   19
21   35   15   5   1
24   38   16   3   5
25   18   4   3   18
27   37   15   4   8
32   43   17   7   8
33   34   15   3   15
36   33   13   3   20
37   14   3   24   10
43   27   9   4   30
48   17   3   37   8
48   15   3   30   15
56   40   16   0   40
60   25   8   44   8
61   22   7   4   50
66   24   8   43   15
81   29   10   53   18
82   32   12   3   67
84   30   10   56   18
92   44   17   8   67
109   39   16   76   17
112   26   8   4   100
115   41   17   84   14
120   31   11   69   40
121   42   17   4   100
183   23   8   40   135
Orders: 38 [Norm:1, Veg:15, VIP:7]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:16]
Avg Wait = 16.2632, Avg Serv = 25.3684
Urgent orders: 15,  Auto-promoted: 50%
