FT  ID  AT  WT  ST
5   3   1   0   4
7   7   1   0   6
10   13   3   0   7
10   9   2   0   8
13   1   1   0   12
14   27   9   1   4
15   8   1   0   14
16   5   1   0   15
17   10   2   0   15
19   18   4   3   12
20   4   1   0   19
21   11   2   4   15
26   6   1   0   25
27   35   15   11   1
27   40   16   3   8
27   26   8   6   13
31   37   15   6   10
31   2   1   0   30
33   19   5   5   23
35   43   17   10   8
45   38   16   4   25
48   17   3   34   11
49   15   3   33   13
52   14   3   28   21
52   34   15   3   34
56   33   13   3   40
77   44   17   10   50
82   25   8   60   14
83   42   17   10   56
86   29   10   62   14
87   24   8   47   32
98   30   10   69   19
112   41   17   90   5
122   39   16   90   16
125   23   8   41   76
173   31   11   91   71
215   32   12   3   200
263   22   7   6   250
Orders: 38 [Norm:1, Veg:15, VIP:7]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:19]
Avg Wait = 19.2895, Avg Serv = 31.4737
Urgent orders: 15,  Auto-promoted: 50%
