FT  ID  AT  WT  ST
3   3   1   0   2
6   9   2   0   4
7   1   1   0   6
10   13   3   0   7
11   11   2   4   5
11   7   1   0   10
11   4   1   0   10
15   10   2   0   13
16   14   3   0   13
16   5   1   0   15
-2147483647   6   1   0   -2147483648
107   19   5   12   90
31   2   1   0   30
39   20   5   7   27
41   8   1   0   40
55   16   3   7   45
56   21   6   10   40
58   26   8   21   29
59   33   13   26   20
107   19   5   12   90
60   35   15   44   1
61   18   4   7   50
71   17   3   61   7
73   34   15   40   18
74   15   3   57   14
98   25   8   86   4
98   37   15   43   40
106   29   10   88   8
107   19   5   12   90
107   12   2   5   100
109   24   8   85   16
141   30   10   89   42
154   23   8   83   63
-2147483592   36   15   41   -2147483648
-2147483607   32   12   29   -2147483648
-2147483607   32   12   29   -2147483648
-2147483629   22   7   12   -2147483648
297   31   11   96   190
Orders: 38 [Norm:1, Veg:13, VIP:6]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:17]
Avg Wait = 26.4737, Avg Serv = -2.82564e+08
Urgent orders: 18,  Auto-promoted: 56.25%
