FT  ID  AT  WT  ST
3   3   1   0   2
7   9   2   0   5
8   7   1   0   7
8   1   1   0   7
9   13   3   0   6
9   5   1   0   8
11   4   1   0   10
13   14   3   0   10
13   10   2   0   11
15   11   2   5   8
17   8   1   0   16
22   26   8   1   13
24   33   13   3   8
24   18   4   4   16
25   35   15   9   1
26   27   9   0   17
26   6   1   0   25
29   38   16   6   7
31   2   1   0   30
32   37   15   9   8
38   34   15   3   20
40   32   12   3   25
44   17   3   33   8
50   25   8   36   6
50   42   17   8   25
53   24   8   34   11
54   15   3   26   25
56   43   17   9   30
59   29   10   42   7
59   40   16   3   40
65   41   17   42   6
65   39   16   40   9
66   30   10   43   13
98   19   5   3   90
105   23   8   32   65
125   31   11   43   71
143   22   7   4   132
226   44   17   9   200
Orders: 38 [Norm:1, Veg:15, VIP:8]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:14]
Avg Wait = 11.8421, Avg Serv = 26.2632
Urgent orders: 14,  Auto-promoted: 50%
