FT  ID  AT  WT  ST
3   3   1   0   2
6   9   2   0   4
10   11   2   4   4
10   6   1   0   9
11   7   1   0   10
13   13   3   0   10
13   1   1   0   12
15   8   1   0   14
16   2   1   0   15
16   5   1   0   15
20   10   2   0   18
20   4   1   0   19
21   35   15   5   1
24   26   8   3   13
32   18   4   3   25
33   37   15   4   14
39   40   16   0   23
41   38   16   0   25
49   34   15   0   34
50   14   3   31   16
51   43   17   4   30
52   15   3   34   15
53   33   13   0   40
53   32   12   1   40
54   42   17   3   34
58   17   3   49   6
67   25   8   54   5
74   44   17   7   50
75   29   10   57   8
95   39   16   63   16
116   22   7   3   106
120   41   17   98   5
121   24   8   49   64
124   31   11   65   48
136   30   10   60   66
178   23   8   47   123
Orders: 36 [Norm:1, Veg:15, VIP:12]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:14]
Avg Wait = 17.8889, Avg Serv = 26.0833
Urgent orders: 8,  Auto-promoted: 50%
