FT  ID  AT  WT  ST
5   3   1   0   4
6   9   2   0   4
7   7   1   0   6
8   13   3   0   5
11   11   2   4   5
11   4   1   0   10
13   1   1   0   12
16   5   1   0   15
17   10   2   0   15
18   26   8   0   10
18   2   1   0   17
19   18   4   3   12
21   35   15   5   1
24   37   15   4   5
-2147483647   6   1   0   -2147483648
27   14   3   18   6
36   17   3   28   5
-2147483647   8   1   0   -2147483648
43   15   3   28   12
48   25   8   35   5
49   29   10   34   5
52   24   8   29   15
53   33   13   0   40
74   30   10   43   21
83   31   11   44   28
-2147483632   34   15   1   -2147483648
144   23   8   28   108
182   22   7   4   171
215   32   12   3   200
Orders: 29 [Norm:1, Veg:13, VIP:9]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:13]
Avg Wait = 10.7241, Avg Serv = -2.22153e+08
Urgent orders: 6,  Auto-promoted: 40%
