FT  ID  AT  WT  ST
3   3   1   0   2
6   7   1   0   5
8   13   3   0   5
8   9   2   0   6
9   11   2   4   3
9   5   1   0   8
10   6   1   0   9
11   4   1   0   10
13   14   3   5   5
13   1   1   0   12
15   8   1   0   14
16   35   15   0   1
18   17   3   11   4
19   10   2   0   17
23   15   3   10   10
25   37   15   3   7
31   26   8   0   23
31   2   1   0   30
32   18   4   3   25
33   33   13   0   20
34   24   8   15   11
43   29   10   28   5
49   25   8   27   14
59   30   10   33   16
75   34   15   0   60
80   32   12   0   68
83   31   11   34   38
113   23   8   11   94
145   22   7   2   136
Orders: 29 [Norm:3, Veg:13, VIP:11]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:10]
Avg Wait = 6.41379, Avg Serv = 22.6897
Urgent orders: 2,  Auto-promoted: 20%
