FT  ID  AT  WT  ST
2   3   1   0   1
7   9   2   0   5
8   14   3   0   5
9   5   1   0   8
9   7   1   0   8
13   13   3   0   10
13   1   1   0   12
14   6   1   0   13
15   11   2   5   8
17   2   1   0   16
18   18   4   4   10
20   4   1   0   19
22   10   2   0   20
20   35   15   4   1
24   15   3   6   15
30   34   15   3   12
35   17   3   19   13
38   33   13   1   24
41   8   1   0   40
59   37   15   4   40
61   25   8   47   6
63   22   7   6   50
65   32   12   3   50
70   26   8   1   61
71   29   10   51   10
71   24   8   42   21
104   23   8   18   78
111   30   10   55   46
118   31   11   55   52
Orders: 29 [Norm:1, Veg:13, VIP:8]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:11]
Avg Wait = 11.1724, Avg Serv = 22.5517
Urgent orders: 7,  Auto-promoted: 40%
