FT  ID  AT  WT  ST
2   3   1   0   1
-2147483645   15   3   0   -2147483648
7   9   2   0   5
8   14   3   0   5
9   1   1   0   8
9   5   1   0   8
10   13   3   0   7
10   6   1   0   9
10   7   1   0   9
12   11   2   5   5
15   17   3   7   5
19   18   4   4   11
19   10   2   0   17
20   35   15   4   1
20   4   1   0   19
21   33   13   3   5
30   37   15   4   11
31   26   8   2   21
31   2   1   0   30
41   8   1   0   40
47   32   12   3   32
51   24   8   31   12
55   25   8   42   5
63   29   10   41   12
85   30   10   45   30
95   31   11   56   28
96   22   7   3   86
98   23   8   13   77
118   34   15   3   100
Orders: 29 [Norm:1, Veg:13, VIP:8]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:13]
Avg Wait = 9.17241, Avg Serv = -7.40511e+07
Urgent orders: 7,  Auto-promoted: 40%
