FT  ID  AT  WT  ST
3   3   1   0   2
8   9   2   0   6
11   14   3   0   8
11   1   1   0   10
-2147483636   22   7   5   -2147483648
13   4   1   0   12
14   7   1   0   13
65   32   12   4   49
16   13   3   0   13
16   5   1   0   15
17   2   1   0   16
-2147483646   10   2   0   -2147483648
21   35   15   5   1
26   18   4   7   15
26   6   1   0   25
36   17   3   23   10
38   11   2   6   30
-2147483647   8   1   0   -2147483648
43   15   3   20   20
-2147483632   33   13   3   -2147483648
59   37   15   4   40
61   25   8   48   5
63   26   8   5   50
64   24   8   35   21
65   32   12   4   49
71   34   15   3   53
73   29   10   50   13
79   30   10   51   18
140   31   11   55   74
162   23   8   33   121
Orders: 30 [Norm:1, Veg:13, VIP:6]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:14]
Avg Wait = 12.0333, Avg Serv = -2.86331e+08
Urgent orders: 10,  Auto-promoted: 40%
