FT  ID  AT  WT  ST
3   3   1   0   2
7   1   1   0   6
10   9   2   0   8
11   7   1   0   10
11   4   1   0   10
13   14   3   0   10
14   6   1   0   13
15   13   3   0   12
16   5   1   0   15
22   10   2   0   20
7   11   2   5   0
21   35   15   5   1
11   2   1   0   10
16   33   13   1   2
11   8   1   0   10
51   15   3   22   26
55   32   12   3   40
59   37   15   4   40
73   25   8   53   12
76   24   8   47   21
76   17   3   33   40
81   29   10   61   10
110   18   4   6   100
111   26   8   3   100
116   34   15   1   100
130   31   11   73   46
132   30   10   68   54
136   22   7   4   125
150   23   8   37   105
Orders: 29 [Norm:1, Veg:13, VIP:8]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:14]
Avg Wait = 14.6897, Avg Serv = 32.6897
Urgent orders: 7,  Auto-promoted: 40%
