FT  ID  AT  WT  ST
4   3   1   0   3
6   9   2   0   4
7   1   1   0   6
10   11   2   4   4
10   13   3   0   7
11   4   1   0   10
14   27   9   1   4
14   10   2   0   12
14   7   1   0   13
15   8   1   0   14
16   5   1   0   15
22   38   16   0   6
25   33   13   1   11
26   35   15   10   1
26   6   1   0   25
31   26   8   3   20
31   2   1   0   30
32   37   15   7   10
38   19   5   3   30
41   43   17   9   15
42   32   12   2   28
48   14   3   31   14
56   40   16   0   40
57   18   4   3   50
73   17   3   42   28
81   44   17   14   50
96   25   8   77   11
97   15   3   36   58
118   23   8   54   56
118   34   15   3   100
121   24   8   60   53
126   42   17   9   100
127   39   16   102   9
143   29   10   83   50
145   22   7   4   134
171   41   17   124   30
176   30   10   106   60
181   31   11   106   64
Orders: 38 [Norm:1, Veg:15, VIP:11]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:18]
Avg Wait = 23.5263, Avg Serv = 30.9211
Urgent orders: 11,  Auto-promoted: 50%
