FT  ID  AT  WT  ST
2   3   1   0   1
5   9   2   0   3
7   1   1   0   6
8   11   2   3   3
8   14   3   0   5
9   5   1   0   8
10   7   1   0   9
12   10   2   0   10
13   13   3   0   10
16   17   3   9   4
19   15   3   6   10
20   4   1   0   19
21   33   13   0   8
21   8   1   0   20
22   35   15   6   1
23   40   16   3   4
26   43   17   6   3
26   6   1   0   25
29   34   15   3   11
31   2   1   0   30
33   32   12   0   21
41   37   15   6   20
42   42   17   5   20
45   38   16   4   25
55   25   8   41   6
59   22   7   3   49
59   26   8   1   50
65   24   8   36   21
67   18   4   3   60
68   29   10   43   15
79   23   8   18   53
85   30   10   48   27
99   39   16   63   20
100   41   17   71   12
105   31   11   54   40
226   44   17   9   200
Orders: 36 [Norm:1, Veg:15, VIP:11]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:11]
Avg Wait = 12.25, Avg Serv = 23.0278
Urgent orders: 9,  Auto-promoted: 50%
