FT  ID  AT  WT  ST
3   3   1   0   2
8   1   1   0   7
9   13   3   0   6
9   14   3   0   6
9   9   2   0   7
9   5   1   0   8
9   7   1   0   8
11   4   1   0   10
12   10   2   0   10
26   33   13   3   10
26   6   1   0   25
27   26   8   1   18
29   15   3   6   20
30   35   15   14   1
31   2   1   0   30
32   32   12   0   20
33   38   16   10   7
38   22   7   3   28
38   11   2   6   30
41   37   15   12   14
41   8   1   0   40
43   17   3   30   10
52   44   17   15   20
54   25   8   38   8
55   42   17   13   25
58   29   10   42   6
59   18   4   5   50
61   43   17   14   30
66   40   16   10   40
76   24   8   33   35
81   31   11   47   23
84   41   17   61   6
84   30   10   44   30
85   39   16   61   8
101   23   8   30   63
118   34   15   3   100
Orders: 36 [Norm:1, Veg:15, VIP:9]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:10]
Avg Wait = 13.9167, Avg Serv = 21.1389
Urgent orders: 11,  Auto-promoted: 50%
