FT  ID  AT  WT  ST
2   3   1   0   1
6   9   2   0   4
8   13   3   0   5
10   11   2   4   4
11   7   1   0   10
13   14   3   0   10
13   15   3   0   10
13   1   1   0   12
16   2   1   0   15
18   17   3   11   4
18   18   4   4   10
20   4   1   0   19
21   35   15   5   1
22   38   16   3   3
24   6   1   0   23
25   43   17   5   3
28   34   15   3   10
33   37   15   4   14
36   40   16   0   20
41   24   8   21   12
41   8   1   0   40
43   22   7   4   32
44   25   8   26   10
53   33   13   0   40
53   32   12   1   40
55   29   10   33   12
59   10   2   0   57
83   41   17   58   8
83   39   16   45   22
84   30   10   34   40
91   23   8   20   63
100   31   11   46   43
121   42   17   4   100
224   44   17   7   200
Orders: 34 [Norm:1, Veg:15, VIP:8]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:9]
Avg Wait = 9.94118, Avg Serv = 26.3824
Urgent orders: 10,  Auto-promoted: 50%
