FT  ID  AT  WT  ST
3   3   1   0   2
5   9   2   0   3
8   11   2   3   3
9   5   1   0   8
9   7   1   0   8
10   14   3   0   7
11   4   1   0   10
13   13   3   0   10
13   1   1   0   12
14   27   9   0   5
14   10   2   0   12
18   2   1   0   17
21   18   4   4   13
26   38   16   5   5
26   15   3   11   12
26   6   1   0   25
27   35   15   11   1
30   34   15   0   15
31   43   17   10   4
36   42   17   9   10
36   26   8   3   25
39   17   3   31   5
41   8   1   0   40
43   25   8   31   4
47   24   8   28   11
53   33   13   0   40
53   32   12   1   40
54   19   5   4   45
58   29   10   36   12
59   40   16   3   40
65   30   10   40   15
66   37   15   11   40
88   41   17   68   3
90   39   16   62   12
97   44   17   13   67
130   31   11   43   76
141   22   7   4   130
161   23   8   28   125
Orders: 38 [Norm:1, Veg:15, VIP:11]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:9]
Avg Wait = 12.0789, Avg Serv = 24
Urgent orders: 11,  Auto-promoted: 50%
