FT  ID  AT  WT  ST
3   3   1   0   2
6   7   1   0   5
7   9   2   0   5
7   1   1   0   6
9   11   2   4   3
9   5   1   0   8
10   13   3   0   7
11   4   1   0   10
12   14   3   0   9
14   10   2   0   12
15   8   1   0   14
16   17   3   8   5
16   2   1   0   15
26   6   1   0   25
-2147483622   35   15   11   -2147483648
29   24   8   9   12
29   15   3   4   22
33   25   8   21   4
33   33   13   2   18
40   29   10   24   6
42   22   7   3   32
57   18   4   3   50
59   37   15   4   40
59   26   8   1   50
62   23   8   4   50
65   30   10   30   25
66   34   15   1   50
68   31   11   32   25
154   32   12   0   142
Orders: 29 [Norm:1, Veg:13, VIP:11]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:7]
Avg Wait = 5.55172, Avg Serv = -7.40512e+07
Urgent orders: 4,  Auto-promoted: 40%
