FT  ID  AT  WT  ST
4   3   1   0   3
7   9   2   0   5
11   13   3   0   8
11   4   1   0   10
11   7   1   0   10
13   14   3   1   9
13   1   1   0   12
15   8   1   0   14
16   5   1   0   15
17   35   15   1   1
26   6   1   0   25
27   10   2   0   25
29   18   4   0   25
31   2   1   0   30
32   11   2   9   21
42   17   3   29   10
46   26   8   4   34
47   22   7   4   36
48   32   12   2   34
49   34   15   0   34
53   33   13   0   40
54   15   3   24   27
58   29   10   39   9
59   25   8   41   10
59   37   15   4   40
71   24   8   40   23
143   30   10   49   84
185   23   8   34   143
188   31   11   63   114
Orders: 29 [Norm:2, Veg:13, VIP:10]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:9]
Avg Wait = 11.8621, Avg Serv = 29.3448
Urgent orders: 4,  Auto-promoted: 30%
