FT  ID  AT  WT  ST
3   3   1   0   2
6   9   2   0   4
9   5   1   0   8
9   7   1   0   8
10   11   2   4   4
13   13   3   0   10
13   1   1   0   12
14   10   2   0   12
14   6   1   0   13
17   14   3   6   8
20   4   1   0   19
31   2   1   0   30
32   35   15   16   1
33   40   16   3   14
33   34   15   3   15
39   32   12   2   25
41   18   4   3   34
41   8   1   0   40
43   43   17   16   10
44   38   16   3   25
44   22   7   4   33
53   33   13   0   40
57   17   3   40   14
59   26   8   1   50
60   15   3   39   18
60   37   15   5   40
72   25   8   56   8
95   29   10   63   22
98   30   10   70   18
100   44   17   16   67
110   39   16   86   8
115   41   17   93   5
132   42   17   15   100
133   23   8   51   74
137   31   11   88   38
141   24   8   53   80
Orders: 36 [Norm:1, Veg:15, VIP:9]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:16]
Avg Wait = 20.4444, Avg Serv = 25.25
Urgent orders: 11,  Auto-promoted: 50%
