FT  ID  AT  WT  ST
3   3   1   0   2
7   9   2   0   5
7   7   1   0   6
9   13   3   0   6
11   11   2   5   4
11   4   1   0   10
12   14   3   0   9
13   1   1   0   12
16   5   1   0   15
23   26   8   1   14
24   18   4   3   17
25   35   15   9   1
25   8   1   0   24
26   6   1   0   25
27   10   2   0   25
31   2   1   0   30
33   17   3   22   8
33   37   15   8   10
33   15   3   13   17
36   32   12   1   23
41   25   8   25   8
42   29   10   26   6
53   33   13   0   40
58   24   8   25   25
59   30   10   32   17
66   31   11   33   22
116   34   15   1   100
155   22   7   4   144
176   23   8   19   149
Orders: 29 [Norm:1, Veg:13, VIP:10]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:9]
Avg Wait = 7.82759, Avg Serv = 26.6897
Urgent orders: 5,  Auto-promoted: 40%
