FT  ID  AT  WT  ST
3   3   1   0   2
6   9   2   0   4
7   7   1   0   6
8   13   3   0   5
8   1   1   0   7
9   5   1   0   8
10   11   2   4   4
10   6   1   0   9
11   14   3   0   8
11   4   1   0   10
18   26   8   0   10
20   17   3   11   6
20   10   2   0   18
22   8   1   0   21
23   35   15   7   1
24   38   16   4   4
25   15   3   10   12
27   18   4   3   20
28   34   15   3   10
29   43   17   7   5
31   2   1   0   30
33   33   13   0   20
34   25   8   21   5
34   37   15   5   14
44   29   10   26   8
48   44   17   8   23
50   24   8   21   21
55   41   17   34   4
55   30   10   27   18
59   40   16   3   40
60   39   16   34   10
78   31   11   33   34
79   32   12   0   67
87   23   8   20   59
123   42   17   6   100
143   22   7   2   134
Orders: 36 [Norm:2, Veg:15, VIP:9]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:8]
Avg Wait = 8.02778, Avg Serv = 21.0278
Urgent orders: 10,  Auto-promoted: 41.6667%
