FT  ID  AT  WT  ST
3   3   1   0   2
7   9   2   0   5
11   13   3   0   8
11   4   1   0   10
12   6   1   0   11
13   1   1   0   12
14   7   1   0   13
15   10   2   0   13
16   5   1   0   15
21   11   2   4   15
25   33   13   1   11
26   35   15   10   1
26   26   8   3   15
31   43   17   9   5
31   2   1   0   30
41   37   15   6   20
41   18   4   3   34
41   8   1   0   40
44   38   16   3   25
46   32   12   3   31
59   40   16   3   40
62   17   3   48   11
68   14   3   38   27
76   15   3   39   34
76   42   17   9   50
93   25   8   70   15
94   29   10   72   12
118   34   15   3   100
123   39   16   98   9
147   22   7   4   136
148   41   17   126   5
176   24   8   68   100
195   31   11   82   102
200   23   8   58   134
208   30   10   78   120
231   44   17   14   200
Orders: 36 [Norm:1, Veg:15, VIP:7]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:19]
Avg Wait = 23.6667, Avg Serv = 39.1944
Urgent orders: 13,  Auto-promoted: 50%
