FT  ID  AT  WT  ST
3   3   1   0   2
7   1   1   0   6
8   13   3   0   5
9   14   3   0   6
9   5   1   0   8
10   9   2   0   8
10   7   1   0   9
11   4   1   0   10
14   6   1   0   13
15   8   1   0   14
17   10   2   0   15
18   33   13   0   5
18   18   4   4   10
20   35   15   4   1
23   37   15   3   5
24   17   3   17   4
26   11   2   5   19
31   2   1   0   30
32   15   3   14   15
35   26   8   2   25
38   24   8   19   11
40   25   8   27   5
50   30   10   28   12
52   29   10   26   16
52   22   7   3   42
59   34   15   0   44
76   31   11   29   36
89   23   8   19   62
135   32   12   0   123
Orders: 29 [Norm:1, Veg:13, VIP:12]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:8]
Avg Wait = 6.89655, Avg Serv = 19.3448
Urgent orders: 3,  Auto-promoted: 40%
