FT  ID  AT  WT  ST
3   3   1   0   2
7   1   1   0   6
9   13   3   0   6
9   14   3   0   6
9   9   2   0   7
10   5   1   0   9
11   7   1   0   10
11   4   1   0   10
19   19   5   4   10
20   27   9   3   8
20   10   2   0   18
21   18   4   5   12
21   8   1   0   20
23   11   2   5   16
24   35   15   8   1
24   33   13   6   5
26   37   15   6   5
26   6   1   0   25
28   43   17   7   4
31   26   8   3   20
31   2   1   0   30
34   38   16   5   13
34   40   16   4   14
34   34   15   5   14
40   15   3   25   12
41   17   3   30   8
48   25   8   36   4
56   44   17   9   30
60   29   10   38   12
65   24   8   33   24
69   30   10   44   15
85   41   17   63   5
87   39   16   60   11
99   31   11   59   29
124   42   17   7   100
148   22   7   4   137
171   23   8   29   134
215   32   12   3   200
Orders: 38 [Norm:1, Veg:15, VIP:6]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:14]
Avg Wait = 13.1842, Avg Serv = 26.1053
Urgent orders: 16,  Auto-promoted: 50%
