FT  ID  AT  WT  ST
3   3   1   0   2
9   9   2   0   7
10   13   3   0   7
10   14   3   0   7
11   7   1   0   10
12   5   1   0   11
13   1   1   0   12
15   10   2   0   13
16   2   1   0   15
17   11   2   7   8
20   4   1   0   19
22   19   5   5   12
23   18   4   6   13
26   38   16   6   4
26   6   1   0   25
27   35   15   11   1
28   37   15   8   5
31   43   17   10   4
31   34   15   3   13
39   33   13   3   23
40   32   12   3   25
41   8   1   0   40
43   27   9   4   30
45   15   3   29   13
47   17   3   38   6
56   44   17   11   28
60   40   16   4   40
61   22   7   4   50
69   25   8   57   4
74   29   10   57   7
86   24   8   57   21
87   39   16   60   11
90   30   10   60   20
92   41   17   69   6
99   31   11   64   24
112   26   8   4   100
126   42   17   9   100
164   23   8   43   113
Orders: 38 [Norm:1, Veg:15, VIP:6]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:12]
Avg Wait = 16.6316, Avg Serv = 22.3421
Urgent orders: 16,  Auto-promoted: 50%
