FT  ID  AT  WT  ST
3   3   1   0   2
5   9   2   0   3
8   11   2   3   3
9   7   1   0   8
13   1   1   0   12
14   6   1   0   13
15   8   1   0   14
16   14   3   0   13
16   5   1   0   15
18   13   3   0   15
19   18   4   4   11
20   4   1   0   19
22   10   2   0   20
21   35   15   5   1
31   2   1   0   30
32   38   16   3   13
33   43   17   10   6
34   33   13   1   20
36   37   15   4   17
50   17   3   33   14
53   15   3   30   20
56   40   16   0   40
68   34   15   3   50
74   22   7   4   63
77   24   8   48   21
80   29   10   60   10
83   25   8   60   15
93   41   17   68   8
94   39   16   68   10
98   30   10   66   22
113   26   8   5   100
119   31   11   68   40
121   42   17   4   100
209   23   8   48   153
215   32   12   3   200
231   44   17   14   200
Orders: 36 [Norm:1, Veg:15, VIP:9]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:14]
Avg Wait = 17, Avg Serv = 36.1389
Urgent orders: 11,  Auto-promoted: 50%
