FT  ID  AT  WT  ST
3   3   1   0   2
7   1   1   0   6
7   7   1   0   6
10   13   3   0   7
10   14   3   0   7
10   9   2   0   8
11   4   1   0   10
12   10   2   0   10
15   6   1   0   14
16   2   1   0   15
16   5   1   0   15
23   11   2   5   16
24   35   15   8   1
27   18   4   3   20
36   33   13   3   20
40   22   7   4   29
41   43   17   10   14
41   8   1   0   40
43   34   15   3   25
44   38   16   3   25
56   40   16   0   40
59   37   15   4   40
61   26   8   3   50
65   32   12   3   50
68   17   3   57   8
68   15   3   40   25
71   25   8   59   4
89   29   10   58   21
96   31   11   60   25
102   30   10   60   32
102   24   8   57   37
123   41   17   99   7
124   42   17   7   100
133   39   16   93   24
136   44   17   19   100
191   23   8   53   130
Orders: 36 [Norm:1, Veg:15, VIP:7]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:18]
Avg Wait = 19.75, Avg Serv = 27.3056
Urgent orders: 13,  Auto-promoted: 50%
