FT  ID  AT  WT  ST
2   3   1   0   1
6   9   2   0   4
10   11   2   4   4
10   13   3   0   7
10   14   3   0   7
11   7   1   0   10
12   10   2   0   10
12   1   1   0   11
15   27   9   3   3
16   5   1   0   15
17   8   1   0   16
20   19   5   5   10
20   4   1   0   19
23   38   16   4   3
23   18   4   6   13
24   35   15   8   1
26   6   1   0   25
30   43   17   7   6
31   2   1   0   30
35   42   17   6   12
35   32   12   3   20
40   17   3   32   5
45   15   3   32   10
45   26   8   3   34
50   25   8   38   4
56   33   13   3   40
59   40   16   3   40
60   37   15   5   40
61   22   7   4   50
63   29   10   40   13
81   24   8   38   35
85   30   10   51   24
91   41   17   64   10
91   39   16   54   21
105   23   8   34   63
113   31   11   52   50
118   34   15   3   100
226   44   17   9   200
Orders: 38 [Norm:1, Veg:15, VIP:6]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:12]
Avg Wait = 13.4474, Avg Serv = 25.4211
Urgent orders: 16,  Auto-promoted: 50%
