FT  ID  AT  WT  ST
3   3   1   0   2
7   9   2   0   5
7   7   1   0   6
8   13   3   0   5
11   11   2   5   4
12   6   1   0   11
13   14   3   0   10
13   1   1   0   12
16   2   1   0   15
16   5   1   0   15
17   19   5   3   9
20   4   1   0   19
21   8   1   0   20
27   18   4   3   20
28   35   15   12   1
29   34   15   3   11
29   10   2   0   27
39   33   13   3   23
41   37   15   6   20
43   27   9   4   30
44   43   17   12   15
45   38   16   4   25
45   22   7   4   34
48   42   17   11   20
56   40   16   0   40
57   17   3   46   8
58   32   12   3   43
69   44   17   12   40
84   25   8   65   11
85   24   8   57   20
88   29   10   68   10
96   15   3   43   50
109   41   17   88   4
112   26   8   4   100
114   39   16   88   10
114   30   10   80   24
222   23   8   49   165
260   31   11   85   164
Orders: 38 [Norm:1, Veg:15, VIP:7]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:12]
Avg Wait = 19.9474, Avg Serv = 27.5789
Urgent orders: 15,  Auto-promoted: 50%
