FT  ID  AT  WT  ST
4   3   1   0   3
6   9   2   0   4
8   1   1   0   7
9   5   1   0   8
10   11   2   4   4
10   13   3   0   7
10   6   1   0   9
10   7   1   0   9
11   4   1   0   10
16   10   2   0   14
17   14   3   7   7
21   33   13   1   7
24   27   9   0   15
26   15   3   8   15
27   35   15   11   1
27   26   8   2   17
28   38   16   5   7
29   40   16   3   10
29   18   4   0   25
31   2   1   0   30
32   43   17   10   5
39   17   3   26   10
41   8   1   0   40
42   42   17   10   15
44   37   15   9   20
49   25   8   33   8
50   24   8   24   18
51   44   17   11   23
54   29   10   35   9
79   41   17   57   5
88   30   10   41   37
93   31   11   40   42
94   39   16   53   25
94   22   7   3   84
118   34   15   3   100
129   32   12   0   117
185   23   8   24   153
Orders: 37 [Norm:1, Veg:15, VIP:12]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:9]
Avg Wait = 11.3514, Avg Serv = 24.8649
Urgent orders: 9,  Auto-promoted: 50%
